Global Oil and Gas Extraction Tracker - March 2026,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © Global Energy Monitor. Global Oil and Gas Extraction Tracker, 2026 release. Distributed under a Creative Commons Attribution 4.0 International License.",,,,,,,,,,,,,,,,,,,,,,,
"Contact: Scott Zimmerman, Global Oil and Gas Extraction Tracker Project Manager, Global Energy Monitor - scott.zimmerman@globalenergymonitor.org",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
,"1. For background, additional information, and references, see wiki pages for the individual units",,,,,,,,,,,,,,,,,,,,,,
,"2. For the Methodology, see https://globalenergymonitor.org/projects/global-oil-and-gas-extraction-tracker/methodology/",,,,,,,,,,,,,,,,,,,,,,
,"3. This data set includes units only units that have production of 1 million boe/yr or more and/or reserves of 25 million boe, or those that were included in previous iterations of GOGET ",,,,,,,,,,,,,,,,,,,,,,
,4. The Global Energy Monitor website provides a mapping tool for this data: https://globalenergymonitor.org/projects/global-oil-and-gas-extraction-tracker/tracker/,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Column Key,,,,,,,,,,,,,,,,,,,,,,,
,Sheet,Column name,Definition,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Unit ID,Unique Unit ID number. Reformatted for this release.  Users can convert from the old format to the new by appending L1000003 to the right five digits from the old IDs.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Unit Name,"Name of the unit as it is reported by sources, appended to fuel type and country/area information.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Unit name local script,"The name of the unit in the local script (e.g., Chinese).",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Fuel type,"A determination of whether the unit is a gas, oil, or oil and gas unit.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Country/Area,"The country/area that the unit is in. If a unit spans country borders, both countries are listed in the Unit name.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Subnational unit,"The subnational state that the unit is in (province, state, etc.).",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Production Type,Tag stating if production from a field uses conventional or unconventional methods.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Status,"The status of development of a unit, e.g., discovered, in development, operating, mothballed, decommissioned, abandoned, or UGS.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Status detail,"Additional information on the status, see methodology for details.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Status year,The year of the source of the status information.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Discovery year,Year in which the unit was discovered.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,FID Year,Year in which the unit reach final investment decision.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Production start year,Year in which the unit started commercial production. ,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Operator,The company that is the designated operator of the unit.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Owner(s),The company (or companies) that own the unit. Often multiple companies will collaborate to fund a project.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Parent(s),The company (or companies) that own the owner companies listed.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Government unit ID,The ID assigned by some governments to the asset.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Wiki URL (project),"URL for the GEM.wiki page for an associated project, if relevant.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Wiki URL (field),URL for the GEM.wiki page for the field-level unit.,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Name Other,Alternate names for a field-level unit,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Latitude,"Location of the unit. Since each unit spans some area (often many miles), the coordinates provided are approximately the middle of the unit.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Longitude,"Location of the unit. Since each unit spans some area (often many miles), the coordinates provided are approximately the middle of the unit.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Location accuracy,"Locations are designated as ""exact"" if there is information about where exactly the unit is (e.g., coordinates explicitly stated, or unit shown on a map). If only general information is available (e.g., which state or county the unit is in), an ""approximate"" designation is used.",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Onshore/Offshore,Tag stating if a field predominantly located on or offshore,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Field outline (WKT),Field-level units outline in well-known-text format. ,,,,,,,,,,,,,,,,,,,,
,Field-level main data,Basin,"Each field-level unit is within a particular basin (short for sedimentary basin), when available, shown here. ",,,,,,,,,,,,,,,,,,,,
,Field-level main data,Block,"Each unit is generally within a single concession or block, which is an area that the government licenses for exploration, when available, shown here. ",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Unit ID,Unique Unit ID number,,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Unit Name,Name of the unit as it is reported by sources.,,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Country/Area,"The country/area that the unit is in. If a unit spans country borders, both countries are listed in the Unit name.",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Fuel description,"Specifies the type of fuel(s), e.g., ""gas,"" ""oil,"" ""gas and condensates,"" ""total hydrocarbons,"" and other possibilities that may be specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Reserves classification,"For reserves only, a description of the classification of reserves, e.g., 1P reserves, 2P reserves, proved reserves, EUR, or other possibilities (as specified by the source documents)",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Quantity (original),"The quantity of fuel, as specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Units (original),"The units of measurement, as specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Quantity (converted),The quantity after the conversion of data into a common set of units.,,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Units (converted),The common set of units.,,,,,,,,,,,,,,,,,,,,
,Field-level reserves data,Data Year,"Year the data refers to, or if not listed, year of the source document",,,,,,,,,,,,,,,,,,,,
,Field-level production data,Unit ID,Unique project ID number,,,,,,,,,,,,,,,,,,,,
,Field-level production data,Unit name,Name of the unit as it is reported by sources.,,,,,,,,,,,,,,,,,,,,
,Field-level production data,Country/Area,"The country/area that the unit is in. If a unit spans country borders, both countries are listed in the Unit name.",,,,,,,,,,,,,,,,,,,,
,Field-level production data,Fuel description,"Specifies the type of fuel(s), e.g., ""gas,"" ""oil,"" ""gas and condensates,"" ""total hydrocarbons,"" and other possibilities that may be specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level production data,Quantity (original),"The quantity of fuel, as specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level production data,Units (original),"The units of measurement, as specified by the source documents",,,,,,,,,,,,,,,,,,,,
,Field-level production data,Quantity (converted),The quantity after the conversion of data into a common set of units.,,,,,,,,,,,,,,,,,,,,
,Field-level production data,Units (converted),The common set of units.,,,,,,,,,,,,,,,,,,,,
,Field-level production data,Data Year,"Year the data refers to, or if not listed, year of the source document",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Project ID,Unique project ID number. Reformatted for this release.  Users can convert from the old format to the new by appending L1000003 to the right five digits from the old IDs.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Project Name,"Name of the project as it is reported by sources, appended to fuel type and country/area information.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Unit name local script,"The name of the project in the local script (e.g., Chinese).",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Fuel type,"A determination of whether the project is a gas, oil, or oil and gas project.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Country/Area,"The country/area that the project is in. If a project spans country borders, both countries are listed in the project name.",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Subnational unit,"The subnational state that the project is in (province, state, etc.).",,,,,,,,,,,,,,,,,,,,
,Project-level main data,Production Type,Tag stating if production from a field uses conventional or unconventional methods.,,,,,,,,,,,,,,,,,,,,
,Project-level main data,Status,"The status of development of a project, e.g., discovered, in development, operating, mothballed, decommissioned, abandoned, or UGS.",,,,,,,,,,,,,,,,,,,,
