Country,Consumption_Thousand_Barrels_Daily_2024
"Canada","2333.2"
"Mexico","1853.3"
"US","18995.0"
"Total North America","23181.5"
"Argentina","604.3"
"Brazil","2575.2"
"Chile","428.1"
"Colombia","449.0"
"Ecuador","290.3"
"Peru","279.6"
"Trinidad & Tobago","33.2"
"Venezuela","325.1"
"Central America","516.7"
"Other Caribbean","575.1"
"Other South America","259.3"
"Total S. & Cent. America","6336.1"
"Austria","228.2"
"Belgium","577.0"
"Bulgaria","108.6"
"Croatia","81.2"
"Cyprus","49.2"
"Czech Republic","199.5"
"Denmark","157.1"
"Estonia","25.9"
"Finland","157.1"
"France","1359.7"
"Germany","2051.5"
"Greece","298.3"
"Hungary","170.6"
"Iceland","19.6"
"Ireland","148.7"
"Italy","1262.5"
"Latvia","32.4"
"Lithuania","64.1"
"Luxembourg","48.2"
"Netherlands","784.7"
"North Macedonia","24.5"
"Norway","222.2"
"Poland","704.7"
"Portugal","213.1"
"Romania","242.2"
"Slovakia","85.3"
"Slovenia","45.2"
"Spain","1269.9"
"Sweden","248.7"
"Switzerland","188.0"
"Turkey","1162.5"
"Ukraine","206.0"
"United Kingdom","1325.1"
"Other Europe","366.9"
"Total Europe","14128.1"
"Azerbaijan","128.2"
"Belarus","161.9"
"Kazakhstan","346.3"
"Russian Federation","3846.3"
"Turkmenistan","162.4"
"USSR","-"
"Uzbekistan","137.3"
"Other CIS","102.0"
"Total CIS","4884.3"
"Iran","1953.3"
"Iraq","924.8"
"Israel","206.9"
"Kuwait","519.2"
"Oman","217.4"
"Qatar","397.3"
"Saudi Arabia","3958.6"
"United Arab Emirates","1183.3"
"Other Middle East","532.5"
"Total Middle East","9893.3"
"Algeria","461.4"
"Egypt","781.7"
"Morocco","315.8"
"South Africa","466.6"
"Eastern Africa","731.1"
"Middle Africa","297.7"
"Western Africa","1017.3"
"Other Northern Africa","430.1"
"Other Southern Africa","56.9"
"Total Africa","4558.7"
"Australia","1087.0"
"Bangladesh","264.4"
"China","16373.5"
"China Hong Kong SAR","304.6"
"India","5620.5"
"Indonesia","1633.2"
"Japan","3237.9"
"Malaysia","934.4"
"New Zealand","158.1"
"Pakistan","423.8"
"Philippines","486.6"
"Singapore","1491.9"
"South Korea","2891.5"
"Sri Lanka","115.5"
"Taiwan","823.9"
"Thailand","1252.8"
"Vietnam","706.9"
"Other Asia Pacific","629.4"
"Total Asia Pacific","38436.1"
"Total World","101418.0"
"of which: OECD","44760.4"
"Non-OECD","56657.6"
"European Union #","10661.4"
