Country,Refinery_Throughput_Thousand_Barrels_Daily_2024
"Canada","1741"
"Mexico","906"
"US","16224"
"Total North America","18871"
"Argentina","525"
"Brazil","1995"
"Chile","190"
"Colombia","424"
"Curacao","-"
"Ecuador","160"
"Netherlands Antilles","-"
"Peru","191"
"Trinidad & Tobago","-"
"Venezuela","238"
"Other S. & Cent. America","253"
"Total S. & Cent. America","3976"
"Austria","162"
"Belgium","617"
"Bulgaria","133"
"Czech Republic","132"
"Denmark","137"
"Finland","163"
"France","907"
"Germany","1732"
"Greece","477"
"Hungary","136"
"Ireland","40"
"Italy","1223"
"Lithuania","177"
"Netherlands","945"
"Norway","141"
"Poland","520"
"Portugal","216"
"Romania","220"
"Slovakia","94"
"Spain","1288"
"Sweden","359"
"Switzerland","51"
"Turkey","699"
"Ukraine","115"
"United Kingdom","974"
"Other Europe","122"
"Total Europe","11778"
"Azerbaijan","117"
"Belarus","356"
"Kazakhstan","406"
"Russian Federation","5508"
"Turkmenistan","130"
"USSR","-"
"Uzbekistan","74"
"Other CIS","31"
"Total CIS","6621"
"Bahrain","261"
"Iran","2114"
"Iraq","900"
"Israel","228"
"Kuwait","1248"
"Oman","274"
"Qatar","397"
"Saudi Arabia","2762"
"United Arab Emirates","977"
"Other Middle East","130"
"Total Middle East","9291"
"Algeria","649"
"Egypt","517"
"Morocco","-"
"Nigeria","239"
"South Africa","116"
"Other Africa","422"
"Total Africa","1943"
"Australia","254"
"Bangladesh","29"
"China","14629"
"India","5322"
"Indonesia","807"
"Japan","2353"
"Malaysia","639"
"New Zealand","-"
"Pakistan","232"
"Philippines","174"
"Singapore","794"
"South Korea","2807"
"Taiwan","778"
"Thailand","1085"
"Vietnam","336"
"Other Asia Pacific","251"
"Total Asia Pacific","30491"
"Total World","82971"
"of which: OECD","36315"
"Non-OECD","46655"
"European Union #","9716"
